school_id,display_name,mascot_name,color1,color1_name,color2,color2_name,color3,color3_name,mascot_file_name
167,St. Peter's Prep,Marauders,#840029,Maroon,#737272,Gray,#FFFFFF,White,Marauder.svg
208,Steinert,Spartans,#006000,Dark Green,#FFFFFF,White,#000000,Black,Spartan.svg
244,Sterling,Silver Knights,#034CB2,Royal Blue,#737272,Gray,#FFFFFF,White,Knight_3.svg
397,Summit,Hilltoppers,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Hilltopper.svg
48,Teaneck,Highwaymen,#0000AE,Blue,#FFFFFF,White,#000000,Black,Highwayman.svg
49,Tenafly,Tigers,#222222,Black,#CC4E10,Orange,#FFFFFF,White,Tiger 1.svg
301,Timber Creek,Chargers,#022C66,Navy,#454444,Gray,#FFFFFF,White,Horse 4.svg
253,Toms River East,Raiders,#CC0022,Scarlet Red,#000000,Black,#FFFFFF,White,Pirate 1.svg
254,Toms River North,Mariners,#0D2C89,Navy,#FFFFFF,White,#000000,Black,Mariner.svg
255,Toms River South,Indians,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Indian 2.svg
216,Trenton,Tornadoes,#222222,Black,#CC0022,Scarlet Red,#FFFFFF,White,Tornado.svg
138,Union,Farmers,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Farmer.svg
98,Union City,Soaring Eagles,#000080,Navy,#C0C0C0,Silver,#FFFFFF,White,Eagle 1.svg
27,Vernon,Vikings,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Viking 1.svg
107,Verona,Hillbillies,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Hillbilly.svg
294,Vineland,Fighting Clan,#CC0022,Scarlet Red,#454444,Gray,#FFFFFF,White,Rooster.svg
146,Voorhees,Mustangs,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Horse 2.svg
9,Waldwick,Warriors,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Warrior.svg
235,Wall,Crimson Knights,#C61330,Crimson,#FFFFFF,White,#000000,Black,Knight_2.svg
28,Wallkill Valley,Rangers,#222222,Black,#737272,Gray,#FFFFFF,White,Ranger.svg
67,Warren Hills,Blue Streaks,#4169E1,Royal Blue,#FFFFFF,White,#000000,Black,Blue Streak.svg
